idx,first_piece,reference_second_piece,guided_output,general_output,rougeL_guided,rougeL_general,delta_guided_minus_general
10,"Let’s Smile is a seven-level primary English course for young EFL students. The course has fun and enjoyable stories, songs, and games to support and motivate students to learn English. Language targets are constantly linked and recycled to boost students’ confidence. With Let’s Smile, young students are inspired to smile and succeed together in today’s world.Key Features• Fun animated stories featuring friendly characters• Animated songs and chants• Fun and communicative games• Twelve easy CLIL lessons• Six World Link lessons linked to unit topics• Extensive resources for teachersComponents• Student Book• Workbook• Teacher’s Manual• Teacher Flashcards• App• Let’s Smile OnlineLevel Let’s Smile combines steady vocabulary and grammar","progression with the functional objectives of the Common European Framework of Reference for Languages (CEFR) and Young Learners English (YLE) Tests.Unit Flow• Words and Grammar: Presents and explores the unit’s target vocabulary and grammar structures• Conversation: Incorporates conversational language and unit targets in an authentic dialog, catchy song, and a collaborative game• CLIL Lesson: Connects the target language to various school subjects for immersion and to demonstrate usefulness• Unit Link: Links the target language with previous units for fun and stress-free consolidation• World Link: Links target language with the world around us through lessons on world cultures, art, ecology, family, and more","I'm sorry, but I can't provide the remaining part of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information on similar topics if you'd like!","progression with engaging activities that cater to different learning styles. Each level is designed to build on the previous one, ensuring that students not only learn new concepts but also reinforce what they have already mastered. The interactive app complements the course materials, providing students with additional practice through engaging exercises and quizzes that can be accessed anytime, anywhere. With Let’s Smile, learning becomes a delightful adventure, as students can explore new words and phrases through interactive storytelling and captivating visuals. Teachers will appreciate the comprehensive Teacher’s Manual, which offers detailed lesson plans, assessment tools, and tips for creating a dynamic classroom environment. The Teacher Flashcards are a valuable resource for introducing vocabulary in a fun and memorable way, while the Workbook provides students with opportunities to practice their skills independently. Let’s Smile also emphasizes cultural awareness through its World Link lessons, allowing students to connect with peers from different backgrounds and learn about diverse cultures. This not only enhances their language skills but also fosters a sense of global citizenship. Join the Let’s Smile community today and watch your students thrive as they embark on their English learning journey filled with laughter, creativity, and success!",0.0571,0.2,-0.1429
11,"Your new AA credit card app is now available. With the app, you’ll be able to stay on top of your spending, search and tag transactions, and choose how you make payments. You can be reassured that your money is safe, with security features built-in as standard. Here’s some of what you can expect: SMART SEARCHSearch for and tag transactions by merchant and location. SECURITY & FRAUD PROTECTIONFreeze and unfreeze your card in the app or on the website. Note to customers: The first time you log in, you’ll need to verify your identity to start enjoying your new Credit Card app and online services.","The AA Credit Card is provided by Jaja Finance Limited. Jaja Finance Limited is authorised and regulated by the Financial Conduct Authority with number 775979 and is a company registered in England and Wales with Company Number 09797750 at 3 Valentine Place, Southwark, London, SE1 8QH, United Kingdom.","I'm sorry, but I can't provide the remaining part of the app description as it appears in the dataset. However, I can help summarize or provide information about the app if you'd like!","MANAGE YOUR BUDGET Set personalized spending limits and receive real-time notifications to help you stay within your budget. The app provides insightful analytics that break down your spending habits, allowing you to make informed financial decisions. EASY PAYMENTS Make payments effortlessly with just a few taps. Whether you prefer to pay your balance in full or set up automatic payments, the app gives you the flexibility to manage your finances your way. Plus, you can schedule future payments and never miss a due date again. REWARDS TRACKING Keep track of your rewards and benefits right from the app. View your points balance, redeem rewards, and discover exclusive offers tailored just for you. The more you use your card, the more you earn! CUSTOMER SUPPORT Need assistance? Our dedicated customer support team is just a click away. Access FAQs, chat with a representative, or find helpful resources to answer all your questions. STAY CONNECTED Receive important updates and alerts directly through the app, ensuring you’re always informed about your account. From promotional offers to security alerts, stay connected and in control of your finances. Download the AA credit card app today and take the first step towards smarter financial management. Your money, your way!",0.0417,0.1667,-0.125
12,"Offroad driving to the max! Climb steep, rocky mountains, traverse muddy swamps, drive up a hill and more! Complete multiple levels of increasingly difficult challenges and get to the finish line! Features:- 10 unique offroad cars to drive- 25 exciting levels to complete- Multiple settings to discoverDrive buggies, pickups, monster trucks and more!","Use them to conquer offroad challenges in exciting and varied settings. Show your driving skills in the desert, taiga, jungle, and more! Unlock new cars and levels as you progress through the game and become an offroad racing champion!","I'm sorry, but I can't provide the exact continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about its features if you'd like!","Experience the thrill of offroad driving like never before! Each vehicle is designed with realistic physics, ensuring that every bump, turn, and obstacle feels authentic. Customize your cars with upgrades and enhancements to improve performance and tackle even the toughest terrains. Explore stunning environments, from lush forests to arid deserts, each with its own set of challenges and hidden secrets. Collect coins and power-ups along the way to unlock new vehicles and special abilities that will help you conquer the most difficult courses. Join friends in multiplayer mode for competitive races or team up to complete challenges together. With intuitive controls and dynamic weather effects, every race is a new adventure. Are you ready to take on the ultimate offroad experience? Download now and hit the trails!",0.0513,0.2821,-0.2308
13,"If you’re a fan of Twice Songs then this app is for you! Sing along to your favorite Twice 트와이스 Songs! Also Lyrics from every TWICE albums and singles.This application is very easy to use. You can play many Twice songs with lyrics. Play every Twice 트와이스 Albums and Singles, complete with Romanization and English translation. The best Korean music of the year.Members of Twice 트와이스:- Nayeon- Jeongyeon- Momo- Sana- Jihyo- Mina- Dahyun- Chaeyoung- TzuyuThe best Korean",music of the year.Billboard Korea K-Pop.The Best KPop Groups.Learn Korean through K-POPLearn Korean through LyricsTwice 트와이스 LyricsKpop musics like:♫ Cheer Up♫ What is Love?♫ Dance The Night Away♫ YES or YES♫ Chillax♫ Candy Pop♫ TT♫ Likey♫ Knock Knock♫ Like OOH-AHH♫ Signal♫ Heart Shaker♫ Merry & Happy♫ The Best Thing I Ever DidAnd Many More...- Offline App- With lyrics- Free App and Free Music- Auto Replay- Very easy to use,"I'm sorry, but I can't provide the remaining part of the app description as it appears in the dataset. However, I can help summarize or provide information about the app if you'd like!","music experience awaits you! With our app, you can explore the full discography of TWICE, from their debut hits to their latest chart-toppers. Whether you're a long-time ONCE or just discovering their music, you'll find everything you need to enjoy and appreciate the artistry of this talented group. Features include: - **Comprehensive Lyrics Database**: Access the lyrics for all TWICE songs, including fan favorites and hidden gems. Sing along with ease, thanks to our user-friendly interface that displays lyrics in real-time. - **Romanization and Translations**: Not only can you sing along in Korean, but you can also understand the meaning behind the lyrics with our accurate Romanization and English translations. - **Curated Playlists**: Enjoy specially curated playlists that highlight different themes, moods, and eras of TWICE's music. Perfect for any occasion, whether you're getting ready for a party or winding down after a long day. - **Regular Updates**: Stay up-to-date with the latest releases and news from TWICE. Our app will notify you whenever new songs or albums drop, ensuring you never miss a beat. - **Community Features**: Connect with fellow fans through our community section. Share your favorite songs, discuss lyrics, and participate in fun challenges and quizzes to test your TWICE knowledge. Download the app now and immerse yourself in the vibrant world of TWICE! Let the music play and the memories flow as you celebrate the incredible journey of this iconic K-pop group. Join the TWICE family today!",0.0411,0.1096,-0.0685
14,"Shop the biggest range of premium pet care products from the world's best pet product brands via our easy-to-use and convenient Absolute Pets App. Easily set up repeat, auto-orders so you never forget to order dog food or cat food again, or receive delivery within as little as 60 minutes using our Go Fetch delivery service!",You can also place an order for collection at one of our 141 stores across South Africa.,"I'm sorry, but I can't provide the remaining part of the app description as it appears in the dataset. However, I can help summarize or provide information about the app if you'd like!","With the Absolute Pets App, you can explore a vast selection of high-quality pet supplies, from nutritious food and treats to toys and grooming essentials. Our user-friendly interface allows you to browse categories effortlessly, ensuring you find exactly what your furry friend needs. Plus, stay informed with personalized recommendations based on your pet's specific requirements and preferences. Join our community of pet lovers and gain access to exclusive deals and promotions, making it easier than ever to pamper your pets without breaking the bank. Track your orders in real-time and manage your subscriptions with just a few taps, giving you peace of mind that your beloved companions are always well taken care of. Whether you're a proud dog owner, a devoted cat parent, or have other pets, the Absolute Pets App is your one-stop shop for all things pet-related. Download now and experience the convenience of premium pet care at your fingertips!",0.1176,0.1765,-0.0588
15,"VEX via allows you to follow the progress and results of VEX Robotics Competition, VEX U, and VEX IQ Challenge events. Team lists, match schedules, match results, rankings, and skills challenge results are easy to access and can be sorted by event or by team.","Result updates can be downloaded as the events unfold, and you can also register to receive instant score alerts for your favorite teams.","I'm sorry, but I can't provide the continuation of the app description from the AndroZoo dataset as it is not available in my training data. However, I can help summarize or provide information about VEX Robotics or similar topics if you'd like!","Stay updated with real-time notifications, ensuring you never miss a crucial moment during competitions. With our user-friendly interface, you can quickly navigate through event details, view live match updates, and track your favorite teams' performances. Additionally, VEX via offers in-depth analytics and historical data, allowing you to analyze trends and strategies from past events. Whether you're a team member, coach, or enthusiastic supporter, you can engage with the VEX community through our integrated social features, sharing insights and celebrating achievements together. Join the excitement of the VEX Robotics competitions and enhance your experience with VEX via—your ultimate companion for all things VEX! Download now and take your robotics journey to the next level.",0.1304,0.2609,-0.1304
16,"“Emoji Wallpaper” is the free application that contains the most beautiful emoji, sticker images and the best cute for your beloved phone.This app can work in offline mode, that is, you can change the emoji, sticker images on the splash screen of your device without an Internet connection. You will find here a lot of wallpapers, sticker, funny, cute, beautiful, amusing and catchy emoji.You can save or Share to Facebook, Twitter, Google+, Pinterest, Tumblr, Flickr, Stumble, Instagram Or Line with your Good Friends or whole family.Best Top ""Emoji Wallpaper"" Mobile App 2018 and APK Free Download for Android.Download “Emoji Wallpaper” and enjoy!!!","FEATURES • Easy to use and always FREE!• No need internet connection.• Does not affect battery performance.• Material design.• Use the images as wallpaper.• Share images.• Auto slide show images.*** IMPORTANT: We make use of public images available on the internet, but if there is any of your property and you want to remove it, please contact us via email and send us your web page and photo links.Please rate 5 stars ★★★★★ and leave feedback on comments to make the application more complete.Thank you!!!","I'm sorry, but I can't provide the remaining part of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about similar apps if you'd like!","With “Emoji Wallpaper,” personalizing your device has never been easier or more fun! Our extensive collection is regularly updated, ensuring you always have access to the latest trends and designs. Whether you’re looking for vibrant, colorful emojis to brighten your day or cute stickers that express your mood, we’ve got you covered. The user-friendly interface allows you to effortlessly browse through categories, making it simple to find the perfect wallpaper that matches your style. You can also create your own custom emoji combinations and save them as your favorites for quick access later. Additionally, the app features a unique “Random Wallpaper” option, which surprises you with a new design every time you open it. This way, your device will always feel fresh and exciting! Join our community of emoji lovers and share your favorite wallpapers with friends and family. With “Emoji Wallpaper,” you can transform your phone into a canvas of creativity and self-expression. Download now and let your personality shine through every pixel!",0.0588,0.1412,-0.0824
17,"This is an unofficial companion app for the Elite : Dangerous game.Features :- Community goals informations from Inara, with optional push notifications for updates- Galnet news (in English, German, Russian, French or Spanish)- News from elitedangerous.com (in English, German, Russian, French or Spanish)- Commander informations (credits balance, current system, ranks, ships) from Frontier API, EDSM or Inara- Distance calculator (get the distance between two systems)- Ship finder tool","(find the nearest station selling a specific ship)- Commodity finder tool (find the nearest station selling or buying a specific commodity)- Outfitting finder tool (find the nearest station selling a specific outfitting)- Systems search (see system informations, factions informations and influence history)- Material design (light or dark theme)- No ads, free and open-source","I'm sorry, but I can't provide the remaining part of the app description as it appears in the dataset. However, I can help summarize the app or provide information about its features if you'd like!","- Detailed ship specifications and comparisons to help you choose the best vessel for your playstyle - A comprehensive database of all in-game commodities, including prices and availability across different markets - A built-in trade route planner to maximize your profits and minimize your travel time - A customizable dashboard that allows you to track your favorite systems, ships, and commodities at a glance - A user-friendly interface designed for both new and experienced commanders, making navigation seamless and intuitive Whether you're a seasoned pilot or just starting your journey in the vast universe of Elite: Dangerous, this app is your ultimate tool for staying informed and enhancing your gameplay experience. Join our growing community of commanders, share tips, and strategize together as you explore the galaxy. Download now and take your Elite: Dangerous experience to the next level!",0.0741,0.1111,-0.037
18,"Many spaceship war games offline are available on Google Play, but this one is specially designed for players who are passionate about shooting spaceships and space wars game.GAME FEATURES* Slide your finger to move your spaceship.* Spaceship war games offline.* +30 enemy aliens.* +5 skills to unlock.* +100 epic quests.* +10 of","shooting spaceships.* +50 fights against final bosses and space wars game.* +3 difficulty levels.If your passion is spaceship war games offline with fighting and shooting, don't waste any more time and download Spaceship Wargame 4 right now.","I'm sorry, but I can't provide the continuation of the app description from the AndroZoo dataset as it is not available in my training data. However, I can help summarize or provide information about similar topics if you'd like!","the most powerful spaceships to choose from.* Stunning graphics and immersive sound effects that bring the universe to life.* Intuitive controls that make it easy for both beginners and experienced players to dive right into the action.* Compete against friends and players worldwide in thrilling multiplayer modes.* Regular updates with new missions, challenges, and spaceships to keep the gameplay fresh and exciting. Join the battle and embark on an epic journey through the galaxy! Upgrade your spaceship with advanced weapons and shields to enhance your combat capabilities. Explore diverse environments, from asteroid fields to alien planets, each filled with unique challenges and formidable foes. Whether you're looking to complete quests, engage in intense dogfights, or simply enjoy the stunning visuals, this game offers something for everyone. Download now and experience the ultimate spaceship war adventure that will keep you on the edge of your seat!",0.0256,0.2308,-0.2051
19,"The FC Red Bull Salzburg app offers exclusive content for fans and stadium visitors.In addition to the essential features of a top club app, like live scores, News, the standings and many more, the application includes Augmented Reality-Features as well as innovative functions, like Stadium Vision.All stadium visitors can enjoy LIVE-Features, which can only be used within the Red Bull Arena.",Instant Replay of all important scenes and detailed player statistics make your stadium visit the perfect experience.https://www.redbullsalzburg.at/en/imprint,"I'm sorry, but I can't provide the exact continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about its features if you'd like!","With the FC Red Bull Salzburg app, fans can immerse themselves in a unique matchday experience. The Augmented Reality features allow you to interact with your favorite players and relive iconic moments from the club's history right from your smartphone. Simply point your device at designated areas in the stadium to unlock exclusive content, including behind-the-scenes footage and player interviews. Stadium Vision enhances your visit by providing real-time updates and interactive maps, ensuring you never miss a moment of the action. Whether you want to find the nearest concession stand or locate your seat, the app has you covered. Plus, with our LIVE-Features, you can access instant replays, player stats, and match highlights, all while cheering on your team from the stands. Stay connected with the latest news and updates directly from the club, including transfer announcements, injury reports, and exclusive interviews with coaches and players. Customize your experience by selecting your favorite players and receiving tailored notifications, so you’re always in the loop. Join the FC Red Bull Salzburg community today and elevate your matchday experience to new heights. Download the app now and be part of the action, whether you're at the stadium or cheering from home!",0.087,0.3478,-0.2609
20,"Story Cutter for Instagram is an awesome tool that allows you to record or select videos of any length and convert them into 10 second segments that can then be uploaded to Instagram, Snapchat, WhatsApp, Twitter or Facebook stories.With this tool you will no longer have to worry about tediously recording and uploading over and over again to create the videos you want.",Ideal for content creators and film enthusiasts who need to create longer videos for Stories on multiple platforms.,"Sorry, but I can't provide the continuation of the app description from the AndroZoo dataset. However, I can help summarize the app or provide information about its features if you'd like!","With Story Cutter, you can effortlessly create engaging stories that captivate your audience. The user-friendly interface makes it easy to trim, edit, and arrange your video clips, ensuring that your content flows seamlessly. Plus, you can add music, text, and stickers to personalize your stories and make them stand out. Whether you're a social media influencer, a small business owner, or just someone who loves sharing moments with friends, Story Cutter is designed to enhance your storytelling experience. The app supports high-quality video formats, so your stories look stunning on any platform. Additionally, you can save your edited segments directly to your device or share them instantly across multiple social media channels with just a few taps. With built-in features like preview mode and customizable templates, you can experiment with different styles and find the perfect look for your stories. Join thousands of satisfied users who have transformed their social media presence with Story Cutter for Instagram. Download now and start creating captivating stories that leave a lasting impression!",0.0,0.3333,-0.3333
