idx,first_piece,reference_second_piece,guided_output,general_output,rougeL_guided,rougeL_general,delta_guided_minus_general
17,"Training by Airbus App provides trainees and instructors in Airbus training centers up-to-date training schedule and practical information.Airbus Customers Services believes that this application dedicated to the improvement of our communication and enhances the quality of our training services.Airbus provides training services to ensure safe, reliable and economic operations of all Airbus aircraft throughout their lifecycle.","Airbus offers an extensive and tailored range of training courses for pilots, cabin crews, performance and operations engineers, maintenance personnel, and structure & repair specialists by using innovative courseware, highly-qualified instructors, and the most advanced training technologies available on the market.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
18,"Tax Calculator or income tax calculator for your monthly tax management.Whether you're an individual or a small business owner, the Tax Calculator app is a",must-have tool for anyone looking to stay on top of their tax obligations and save money in the process.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
19,This is a very simple paper shredder sound in mobile applicationDo you want to feel calmer? More relax maybe? Well we have this white noise sound of paper shredder sound ready to help you with thatWith this paper,"shredder sound, you can:- Feel more concentration by listening this app through headphone- Fall asleep more easily- Any other creative implementations you can think of using the paper shredder soundI hope you enjoy using this paper shredder sound application!",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
20,"compare Popular DNS servers by displaying the DNS query speed, so you can find out which DNS server is the fastest for your network or smartphone.why should you change your DNS server? 🤔• faster loading times of webpages 🚀• Adblock (E.g AdGuard) 🚫• privacy (E.g",1.1.1.1) 🔒• unlock blocked content 🕵️features:• compare the query/reply speed of Popular DNS servers• add custom servers to compare them• Line chart to see the Repeatability of each DNS server,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
21,"Download and Play this awesome typing game.Improve your typing speed and do typing practice.How to Play Typing Game:It’s simple.Type, Shoot and Kill Zombies.Use Special Powers of Missiles and Time Slower.** Typing Game is perfect for typing practice and improving typing speed. **You Can Play Typing game in two mode :1) Sentence Mode – Zombies with words forming a motivational quote will appear. Type and Shoot Them. Improve your Typing speed.2) Word Mode – Zombies with random words will appear.","Type and shoot them. Do Typing practice.If you enjoy playing this typing game, share it with your friends and family so they can also improve their typing speed by doing typing practice.Credits - Image by upklyak on FreepikImage by vectorpocket on FreepikImage by juicy_fish on Freepik",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
22,"Aloha Living brings the most accurate and up-to-date real estate information right to your phone! Powered by Hawaii Information Service, you have access to all homes for sale and MLS listings on Kauai and Hawaii Island area.Use Aloha Living anytime, anywhere to pull up homes for sale around you using the GPS search, or find homes based on address, city or zip code. Aloha Living will show you all the details you want to know about a property, including price, square footage, estimated mortgage, taxes, features, descriptions, pictures, maps and more!","Save your favorite homes to view later. You can also text or email homes to your family and friends. If you have questions or want a tour of the home for sale, press the “Contact” feature to call or email the listing agent who can assist you.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
23,PlaneMapper is a real time plane and flight tracker providing up to date status,"of your flight, airport schedules, aircraft and airline database, industry related articles and news.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
24,"A quick and easy application for compiling your weekly list of groceries. Share your list with friends or family when needed! Designed for a simple list of needs.Features:• One simple list• Simple way to add your groceries• Share your list via SMS, E-mail",and other messaging applications• View your groceries via Wear OS now!• Browse and save trending recipes• Home screen widget for an easier and convenient way to check your shopping list,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
25,"The Enablon Inspection solution is designed to securely answer checklists generated by the Enablon Sustainability Suite.The app, which guides users through a series of questions, automatically switches from on-line to off-line mode and is fully connected to your Enablon solution. This also enables you to access data anywhere, anytime and on any mobile device.Enablon Inspection gives users the ability to:• Easily perform and browse inspection thanks to its intuitive workflow and responsive interface. • Create observation and upload photo or video evidence.• Access observations and key inspection information including scope, due date, and progress.• Use the App’s off-line mode to synchronize and access data on-the-go.","Enablon is the world’s leading provider of Sustainability, EH&S and Operational Risk Management Software. More than 1,000 global companies and 1 million users rely on Enablon solutions to manage their environmental and social performance, minimize risks and improve profitability. Enablon offers the most comprehensive platform in the industry, and is consistently recognized as a global leader and visionary.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
26,"The Morning Context is a media and research company that tells the most ambitious, timely, deeply researched, and well-written stories. Paid for primarily by the readers. We publish more than 200 stories every year, that cover subjects ranging from startups, technology, and e-commerce, to fintech, retail, and education. Everything you need to stay well-informed. If you are not a paying subscriber, we have a rich archive of free stories for you to read. Apart from one in-depth article published every day, TMC also publishes subscriber-only newsletters written by some of the best writers and subject experts, both in-house and external. Our stories provide context on the latest news, cover new ground in critical analysis of the business, and make sense of the complex world around us.","This app keeps you updated on everything that we write about. With the TMC app, you can:· Access our latest stories and newsletters· Explore all archives across internet, business and chaos· Follow subjects that matter to you· Receive alerts whenever we publish something new· Create your own reading list for the stories that you love the most For access to our stories, sign in with your account on The Morning Context.For any support or feedback, contact support@themorningcontext.com.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
27,"Genii Games is a fun app for learning African languages. It is targeted at children (6+ years) and adult learners. Learn how to converse in Kiswahili, Twi, Yoruba, Igbo, Wolof and Ewe languages which are spoken across Ghana, Nigeria, Senegal, Togo, Kenya, Tanzania, Uganda and other African countries.Learn with over a dozen lessons and games for each language. Track your progress with the dashboard. The lessons and games are delivered in colourful cartoon images, interactive conversation flow and available in English and French subtitles. The lessons were prepared and voiced by native speakers and writers across Africa.Benefits include:- Exciting trivia games with rewards to aid your progress- Ease of use with navigational buttons, colourful graphics, clear voice-over and more friendly features.- Multiple African languages with more to come all within the app.- Offline access across multiple devices.","Once content is downloaded, it does not require internet access to play.- Full control over content. You can download and delete relevant language modules and topics as you like to save space on your phone or tablet.- Subtitles are available from native African language to English and French",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
28,REAL Shuffle Player is a simple and efficient audio player with unique features such as a real and intelligent shuffle mode.The main features are:▪ True random numbers via ANU QuantumRNG▪ Smart Shuffle™: Prevents double play of a song▪ Folder-Playlist: Set a folder as a playlist with automatic synchronization▪ Filters: For new songs or liked songs▪ Favorites and playlist management: Shifting songs between playlists▪ Export: Copy the songs in your playlist to a folder▪ Responsive Design: Adaptable UI for phones and tabletsThe PRO features are:▪ Advanced tag editing with smart suggestions▪ Casting: Cast your music to your Fire TV,"or Chromecast▪ OneDrive-Support: Stream your music from OneDrive▪ GoogleDrive-Support: Stream your music from Google Drive▪ Youtube-Support: Add Youtube playlists or entire channels▪ Linked Playlists: Combine multiple playlists to one▪ Hot or Not mode: Pauses the playback after a song ended to let you decide if you liked the song▪ Smooth-Transition: Smooth as butter transitions between songsREAL Shuffle Player supports the following audio formats:MP3, FLAC, OGG, M4A, WAV",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
29,"Crossbar helps keep your life organized when it comes to youth sports.Download the Crossbar mobile application for quicker access to your Crossbar-powered family calendar, teams and team chat.Family Calendar - All your teams games, practices and events into one view.Team Staff - Easily access information to communicate with your coaches and team managers.Team Chat - Want to schedule a team lunch while on an out of town trip?",Just use our team chat feature.Team Rosters - Get easy access to your team rosters and their parent contact information.*Login required. Your organization must use Crossbar to take advantage of this app,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
30,CAN YOU FIX THE EQUATIONS BY ADDING/REMOVING/MOVING STICKS> 🤔 > 😊 > 🏆 Look at the given puzzle and decide how can you solve the equation by adding or removing the matches. With each equation that you solve correctly you will win rewards that will help you to reach new levels. 1. Brain Buzzer - Matches Puzzles is a Puzzle Game to Stimulate Your Brain! 2. Best Games 2021! 3. Play hundreds of puzzles that will get more challenging as you advance. 4. The best Matches Puzzles game for women and men ! You will not only enjoy the game but also gradually improve your skills. 5. Matches Puzzles Game that feature challenging brain teasers to help players test their problem solving skills.The KING of BRAIN TEASERS!.Fun games with friends 6.,"ith friends 6. Brain Buzzer - Matches Puzzles for every level of skill.Fun addicting games and matches puzzles in tons of varying categories. 7. Classic Matches Games for Girls, Boys and Adults.Matches puzzles are simple yet challenging. Fun for adults and teens. 8. Over 300 matches game puzzles and brain teasers to test your creative thinking ,logical and cognitive skills.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
31,"mabspace is a comprehensive freelance community of skilled individuals who are passionate about pursuing their expertise on a fun and interactive space. If you're in need of some expert help, come support home grown talent by booking an expert on mabspace.Here's what mabspace can do:-Seamless mobile signup.-Verify your email address when you feel you're ready to take the next step. -Complete your profile to unlock all all our features.-Create a project on any",thing you're good at by completing 9 pretty straight-forward questions.-Search for projects you're interested in and connect with experts.-Book projects via our secure payment portal-Get some work done!-Deliver bookings and get paid!-Book your expert again or book a new expert.This app is currently only available for users living in Sri Lanka.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
32,"Manage Your Trip with Ease- Instant Itinerary Access: View your travel plans anytime, anywhere, from any device. Booked through FCM Travel? Your trips sync automatically. Adding trips yourself? No problem—you can manually add and organize them.- Real-Time Travel Alerts: Get essential notifications like check-in reminders, gate updates, delays, and safety alerts to keep you informed every step of the way.- Stay Connected with Your Travel Consultant: Need support?","Reach out via chat or phone to get in touch with a consultant whenever you need help.- Security Alerts: Stay safe with real-time security notifications, including local emergency contacts and provider support in critical situations.Note: This app is exclusively for FCM Travel customers.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
33,"Draw, Paint, Make your Beautiful Gallery!Draw freely, your awesome picture will be maked. Have a good time plz:)· · · · · · Game Feature · · · · · · ·» Simply drag to","draw painting» Unique stages to play» Relaxing atmosphere» Supports iPhoneX, iPad seriesDeveloper - Best Indie Developer MondayOFF Game· · · · · · · · · · · · · · · · · · · · · · · · ·",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
34,This app lets you simulate the sound of,a nuclear siren with a seamless loop.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
35,"FIE Swordplay is the first mobile game with real athletic rules for fencing with foils, swords, and sabers that is officially supported by the FIE (http://fie.org). Learn real techniques — from simple thrusts to powerful lunges and devious feints. Play against an AI opponent or challenge a social network friend to a duel.Choose the country you want to represent, equip your fencer, and enter tournaments all over the world. Fight your way from ambitious novice to fencing master.Features of FIE Swordplay• The world's first mobile game with real rules and techniques from athletic fencing• Gorgeous 3D graphics, phenomenal animation, and real fencing physics• Deep customization — fine-tune your weapons and equip your character with gear such as vests and masks• Compelling PvE campaign: fight your way from novice athlete to Olympic champion• Asynchronous PvP mode: duel your social network friends• Incredibly simple, easy-to-use controls.","Master several types of weapons quickly, then hone your skills• Officially supported by the International Fencing FederationStart playing FIE Swordplay and compete in fencing duels that are dynamic, striking, and full of drama — right on the screen of your mobile device! Athletic combat with swords and foils has never looked so spectacular!",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0192,0.0192,0.0
36,"For Foulger Pratt residents! Manage tasks, communication, and",property information conveniently on your phone.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
37,"Live DuckTheLine waiting time with use and fun!Once application started, you'll see the lines around you. Join any line and live your waiting time with fun and use. When it is your turn, you'll be called by the app. That's all, folks.Note: the app is requesting an access to the GPS position of your smartphone to suggest the nearest lines.",A continuous use of GPS in background can significally reduce the battery charge.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
38,"Join the adventures of Poptropica! Complete unbelievable quests, written by Jeff Kinney, author of the Diary of a Wimpy Kid series!Customize your character with cool outfits, hairstyles, and more! Decorate your clubhouse and hang out with friends! You can even adopt cut pets to join you on your adventures!And don't forget to collect prizes and compete with your friends - will you be the island champion?Privacy Policy: https://www.poptropica.com/privacy/Terms of Use: https://www.poptropica.com/about/terms-of-use.htmlChildren should always ask their parent or guardian for permission before they download and play.","This app requires an Internet connection, and data fees may apply if WiFi isn’t connected.© 2021 Sandbox Networks, Inc. All rights reserved.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
39,This application allows you to conveniently work with text notes and,tasks and synchronize them both locally and using Google Drive.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
40,"Manulife Mobile is the only app you need to manage your Group Benefits and Group Retirement plans with Manulife. The fresh, intuitive design gives you access to your Manulife Benefits and Retirement plans quickly and easily. For even easier access you can use Android™ Fingerprint authentication.As a Group Benefits plan member, you can:• submit your claims• review recent claims and payment information• see your benefit balances• access your benefits card and load it to your Android Walletpasses compatible application• find health care providers in your area with directions on how to get there• search My Drug Plan for a drug and find the lowest cost alternative• find places to get your prescriptions for less with Pharmacy Savings SearchAs a Group Retirement and VIP Room plan member, you can:• check your savings totals and plan details• review your recent activity• view all contributions made to your plan• see your rates of returnRest assured, your personal data is always kept confidential and encrypted.",You’ll need valid sign in information to use the app. Register directly from the app or at https://www.manulife.ca/. Forgot your password? No problem. Quickly reset it and you're on your way. You can find more information at https://www.manulife.ca/mobile.Please note: Some employer plan designs may limit the features available to employees.The Manufacturers Life Insurance Company (Manulife),[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
41,LibraDragon is an innovative blockchain game. This is an innovative game experiment. We will combine advanced blockchain technology and concepts while using traditional mobile game resources to change the definition of mobile games for game players. We call it the Consensus Game concept. LibraDragon is the first Consensus Game developed and designed independently by our team.,"At the same time, we combined the characteristics of blockchain to tokenize the game. We created a new concept -- POP (Proof of Playing). This is a mechanism through which players can receive fair consideration. The interest of every player is guaranteed through blockchain technology.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
42,"I have to go to the moon to see my mother!Then, the cats joined forces for Hey, who was left alone!""If you pile up one by one, you'll surely reach the moon.""Mom, wait a minute.",I'll be right there!,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
43,"⭐️Enjoyed by 10.000.000+ Fans Worldwide⭐️Become the Best Uphill Driver in The Best Racing Game! Race & Win!Road Draw: Climb Your Own Hills is one of the most addictive and entertaining physics based hill racing games ever made!It is the next generation of endless hill racing. And it's free!Features:🔸 Innovative driving gameplay that is funny, entertaining and addictive.🔹 Your mission : climb the hill, draw the roads and keep your car safe.🔸","Beware of the shurikens while climbing through the roads you draw🔸 Innovative endless uphill racing game🔹 Many different cars : 4x4, Offroad, Army, SUV, Jeep, SchoolBus and many more.🔸 Unique Hill Climbing EnvironmentsAnnouncement:The name of the game with the old name ""Road Draw - Hill Climb Race"" was changed to ""Road Draw: Climb Your Own Hills"".Thanks to the instant play feature, you can try now this game without downloading.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
44,"100% Free travel guide. More than 14 languages supported.Trip planner with best activities and top rating tours offered for you to book instantly. Daily itineraries. Day walking tours. City Sightseeing. Hop-On Hop-Off tours and many more. Street and public transportation maps. Subway, Metro, Trains.Start planning your prefect trip to Bologna.Top attractions including:✓ Piazza Maggiore✓ Fountain of Neptune✓ San Benedetto✓ San Petronio Basilica✓ Palazzo del Podestà✓ Santo Stefano✓ Two Towers✓ Anatomical theatre of the Archiginnasio✓ Archiginnasio of Bologna✓ Sanctuary of the Madonna di San Luca✓ Basilica of San Domenico✓ The Archaeological Civic Museum (MCA) of Bologna✓ Santa Maria della Vita✓ Pinacoteca Nazionale di Bologna✓ Porta Saragozza Bologna Travel Guide is the perfect companion to your trip.",Discover it today for free.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
45,"Welcome to Dancehall music radio, this unique space where you can listen dancehall music radio stations, important themes, an app where you will find yourself singing, dancing and relaxing to reggae dancehall music, apps for dancehall reggae, shatta wale, vybz kartel, beenie man, alkaline, busy signal, sean paul, winky d, chronixx, buju banton, and trending, online radio, download free dancehall music.Dancehall music radio, It`s an app develop for you, selecting, dancehall reggae music, there are on the internet, here you`ll find, all radio and more, Dancehall Radio.Dancehall music radio, Now you can listen to the main, update yourself with the latest news, music station, anywhere you like, at any time, this is your app, dancehall music, dancehall music downloader.NOTICE:Dancehall music radio, there may be some stations that do not work because their stream is offline.","Remember - Just online radio, and internet radio will work. Sometimes the app will take a few seconds to load depending on your internet conection please wait a moment to enjoy the best, Dancehall, radio dancehall.",[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
46,"3d fire edges wallpapers features Amazing live wallpaper to personalize your phone.Animated backgrounds with 3d flames effect , fire borders and burning screen.",3d fire edges theme on your home screen or lock screen.,[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',[LLM_ERROR] 'OpenAIClient' object has no attribute 'complete',0.0,0.0,0.0
