description_html_clean,extracted_text,description_short,generated_about,rouge1_score,rouge2_score,rougeL_score
"Let’s Smile is a seven-level primary English course for young EFL students. The course has fun and enjoyable stories, songs, and games to support and motivate students to learn English. Language targets are constantly linked and recycled to boost students’ confidence. With Let’s Smile, young students are inspired to smile and succeed together in today’s world.Key Features• Fun animated stories featuring friendly characters• Animated songs and chants• Fun and communicative games• Twelve easy CLIL lessons• Six World Link lessons linked to unit topics• Extensive resources for teachersComponents• Student Book• Workbook• Teacher’s Manual• Teacher Flashcards• App• Let’s Smile OnlineLevel Let’s Smile combines steady vocabulary and grammar progression with the functional objectives of the Common European Framework of Reference for Languages (CEFR) and Young Learners English (YLE) Tests.Unit Flow• Words and Grammar: Presents and explores the unit’s target vocabulary and grammar structures• Conversation: Incorporates conversational language and unit targets in an authentic dialog, catchy song, and a collaborative game• CLIL Lesson: Connects the target language to various school subjects for immersion and to demonstrate usefulness• Unit Link: Links the target language with previous units for fun and stress-free consolidation• World Link: Links target language with the world around us through lessons on world cultures, art, ecology, family, and more","Let’s Smile is a seven-level primary English course for young EFL students. The course features fun and enjoyable stories, songs, and games to support and motivate students to learn English. Language targets are constantly linked and recycled to boost students’ confidence. With Let’s Smile, young students are inspired to smile and succeed together in today’s world. 

Key Features:
• Fun animated stories featuring friendly characters
• Animated songs and chants
• Fun and communicative games
• Twelve easy CLIL lessons
• Six World Link lessons linked to unit topics
• Extensive resources for teachers",Let’s Smile is a seven-level primary English course for young EFL students.,Let’s Smile: A Fun English Course for Young EFL Students,0.8,0.608695652173913,0.8
"Your new AA credit card app is now available. With the app, you’ll be able to stay on top of your spending, search and tag transactions, and choose how you make payments. You can be reassured that your money is safe, with security features built-in as standard. Here’s some of what you can expect: SMART SEARCHSearch for and tag transactions by merchant and location. SECURITY & FRAUD PROTECTIONFreeze and unfreeze your card in the app or on the website. Note to customers: The first time you log in, you’ll need to verify your identity to start enjoying your new Credit Card app and online services. The AA Credit Card is provided by Jaja Finance Limited. Jaja Finance Limited is authorised and regulated by the Financial Conduct Authority with number 775979 and is a company registered in England and Wales with Company Number 09797750 at 3 Valentine Place, Southwark, London, SE1 8QH, United Kingdom.","Your new AA credit card app is now available. With the app, you’ll be able to stay on top of your spending, search and tag transactions, and choose how you make payments. You can be reassured that your money is safe, with security features built-in as standard. 

Key features include SMART SEARCH to search for and tag transactions by merchant and location, and SECURITY & FRAUD PROTECTION that allows you to freeze and unfreeze your card in the app or on the website.",The new credit card app from the AA helps you to manage your money securely.,AA Credit Card App: Manage Spending with Smart Search and Security Features,0.4444444444444445,0.16,0.3703703703703704
"Offroad driving to the max! Climb steep, rocky mountains, traverse muddy swamps, drive up a hill and more! Complete multiple levels of increasingly difficult challenges and get to the finish line! Features:- 10 unique offroad cars to drive- 25 exciting levels to complete- Multiple settings to discoverDrive buggies, pickups, monster trucks and more! Use them to conquer offroad challenges in exciting and varied settings. Show your driving skills in the desert, taiga, jungle, and more! Unlock new cars and levels as you progress through the game and become an offroad racing champion!","Offroad driving to the max! Climb steep, rocky mountains, traverse muddy swamps, drive up a hill and more! Complete multiple levels of increasingly difficult challenges and get to the finish line! 

Features:
- 10 unique offroad cars to drive
- 25 exciting levels to complete
- Multiple settings to discover

Drive buggies, pickups, monster trucks and more! Use them to conquer offroad challenges in exciting and varied settings. Show your driving skills in the desert, taiga, jungle, and more! Unlock new cars and levels as you progress through the game and become an offroad racing champion!",Drive through mud! Climb mountains! Drive up a hill! Live the offroad!,"""Offroad Driving Adventure: Conquer Challenging Terrain!""",0.2222222222222222,0.0,0.1111111111111111
"If you’re a fan of Twice Songs then this app is for you! Sing along to your favorite Twice  Songs! Also Lyrics from every TWICE albums and singles.This application is very easy to use. You can play many Twice songs with lyrics. Play every Twice  Albums and Singles, complete with Romanization and English translation. The best Korean music of the year.Members of Twice :- Nayeon- Jeongyeon- Momo- Sana- Jihyo- Mina- Dahyun- Chaeyoung- TzuyuThe best Korean music of the year.Billboard Korea K-Pop.The Best KPop Groups.Learn Korean through K-POPLearn Korean through LyricsTwice  LyricsKpop musics like: Cheer Up What is Love? Dance The Night Away YES or YES Chillax Candy Pop TT Likey Knock Knock Like OOH-AHH Signal Heart Shaker Merry & Happy The Best Thing I Ever DidAnd Many More...- Offline App- With lyrics- Free App and Free Music- Auto Replay- Very easy to use","If you’re a fan of Twice Songs then this app is for you! Sing along to your favorite Twice Songs! This application is very easy to use. You can play many Twice songs with lyrics, complete with Romanization and English translation. Members of Twice include Nayeon, Jeongyeon, Momo, Sana, Jihyo, Mina, Dahyun, Chaeyoung, and Tzuyu. 

Key features include:
- Offline access
- Lyrics available
- Free app and free music
- Auto replay
- Very easy to use

Enjoy popular songs like ""Cheer Up,"" ""What is Love?,"" ""Dance The Night Away,"" ""YES or YES,"" and many more!",Sing along to your favorite Twice 트와이스 Songs with Lyrics,"""Sing along to your favorite Twice Songs!""",0.8750000000000001,0.8571428571428571,0.8750000000000001
"Shop the biggest range of premium pet care products from the world's best pet product brands via our easy-to-use and convenient Absolute Pets App. Easily set up repeat, auto-orders so you never forget to order dog food or cat food again, or receive delivery within as little as 60 minutes using our Go Fetch delivery service! You can also place an order for collection at one of our 141 stores across South Africa.","Shop the biggest range of premium pet care products from the world's best pet product brands via our easy-to-use and convenient Absolute Pets App. Easily set up repeat, auto-orders so you never forget to order dog food or cat food again, or receive delivery within as little as 60 minutes using our Go Fetch delivery service! You can also place an order for collection at one of our 141 stores across South Africa.",Shop the widest range of premium dog and cat food & pet products in South Africa,Absolute Pets App: Shop premium pet care products with easy auto-orders and fast delivery.,0.3333333333333333,0.0,0.26666666666666666
"VEX via allows you to follow the progress and results of VEX Robotics Competition, VEX U, and VEX IQ Challenge events. Team lists, match schedules, match results, rankings, and skills challenge results are easy to access and can be sorted by event or by team. Result updates can be downloaded as the events unfold, and you can also register to receive instant score alerts for your favorite teams.","VEX via allows you to follow the progress and results of VEX Robotics Competition, VEX U, and VEX IQ Challenge events. Team lists, match schedules, match results, rankings, and skills challenge results are easy to access and can be sorted by event or by team. Result updates can be downloaded as the events unfold, and you can also register to receive instant score alerts for your favorite teams.","Use VEX via to follow the results of VIQC, VRC, and VEX U events",VEX via: Track VEX Robotics Competition Progress and Results,0.43478260869565216,0.09523809523809525,0.2608695652173913
"“Emoji Wallpaper” is the free application that contains the most beautiful emoji, sticker images and the best cute for your beloved phone.This app can work in offline mode, that is, you can change the emoji, sticker images on the splash screen of your device without an Internet connection. You will find here a lot of wallpapers, sticker, funny, cute, beautiful, amusing and catchy emoji.You can save or Share to Facebook, Twitter, Google+, Pinterest, Tumblr, Flickr, Stumble, Instagram Or Line with your Good Friends or whole family.Best Top ""Emoji Wallpaper"" Mobile App 2018 and APK Free Download for Android.Download “Emoji Wallpaper” and enjoy!!! FEATURES •	Easy to use and always FREE!•	No need internet connection.•	Does not affect battery performance.•	Material design.•	Use the images as wallpaper.•	Share images.•	Auto slide show images.*** IMPORTANT: We make use of public images available on the internet, but if there is any of your property and you want to remove it, please contact us via email and send us your web page and photo links.Please rate 5 stars  and leave feedback on comments to make the application more complete.Thank you!!!","“Emoji Wallpaper” is a free application that features beautiful emoji and sticker images for your phone. It works offline, allowing you to change the emoji and sticker images on your device's splash screen without an Internet connection. The app offers a variety of wallpapers, including funny, cute, beautiful, and catchy emoji. You can save or share images on social media platforms like Facebook, Twitter, and Instagram. 

FEATURES:
• Easy to use and always FREE!
• No need for an internet connection.
• Does not affect battery performance.
• Material design.
• Use the images as wallpaper.
• Share images.
• Auto slide show images.",The free app contain the cute emoji images and the best quality,"""Emoji Wallpaper: Beautiful offline emoji and sticker images for your phone.""",0.2608695652173913,0.0,0.17391304347826086
"This is an unofficial companion app for the Elite : Dangerous game.Features :- Community goals informations from Inara, with optional push notifications for updates- Galnet news (in English, German, Russian, French or Spanish)- News from elitedangerous.com (in English, German, Russian, French or Spanish)- Commander informations (credits balance, current system, ranks, ships) from Frontier API, EDSM or Inara- Distance calculator (get the distance between two systems)- Ship finder tool (find the nearest station selling a specific ship)- Commodity finder tool (find the nearest station selling or buying a specific commodity)- Outfitting finder tool (find the nearest station selling a specific outfitting)- Systems search (see system informations, factions informations and influence history)- Material design (light or dark theme)- No ads, free and open-source","This is an unofficial companion app for the Elite: Dangerous game. 

Features:
- Community goals information from Inara, with optional push notifications for updates
- Galnet news (in English, German, Russian, French, or Spanish)
- News from elitedangerous.com (in English, German, Russian, French, or Spanish)
- Commander information (credits balance, current system, ranks, ships) from Frontier API, EDSM, or Inara
- Distance calculator (get the distance between two systems)
- Ship finder tool (find the nearest station selling a specific ship)
- Commodity finder tool (find the nearest station selling or buying a specific commodity)
- Outfitting finder tool (find the nearest station selling a specific outfitting)
- Systems search (see system information, factions information, and influence history)
- Material design (light or dark theme)
- No ads, free and open-source","Community goals updates, in-game news, and CMDR informations for Elite:Dangerous",Unofficial Companion App for Elite: Dangerous,0.3333333333333333,0.25000000000000006,0.3333333333333333
"Many spaceship war games offline are available on Google Play, but this one is specially designed for players who are passionate about shooting spaceships and space wars game.GAME FEATURES* Slide your finger to move your spaceship.* Spaceship war games offline.* +30 enemy aliens.* +5 skills to unlock.* +100 epic quests.* +10 of shooting spaceships.* +50 fights against final bosses and space wars game.* +3 difficulty levels.If your passion is spaceship war games offline with fighting and shooting, don't waste any more time and download Spaceship Wargame 4 right now.","Many spaceship war games offline are available on Google Play, but this one is specially designed for players who are passionate about shooting spaceships and space wars game. If your passion is spaceship war games offline with fighting and shooting, don't waste any more time and download Spaceship Wargame 4 right now. 

GAME FEATURES:
* Slide your finger to move your spaceship.
* Spaceship war games offline.
* +30 enemy aliens.
* +5 skills to unlock.
* +100 epic quests.
* +10 of shooting spaceships.
* +50 fights against final bosses and space wars game.
* +3 difficulty levels.",Spaceship Wargame 4 is a spaceship shooting games offline with space wars 3d.,Spaceship Wargame 4: Offline Shooting Spaceship Battles,0.6,0.2222222222222222,0.4
"The FC Red Bull Salzburg app offers exclusive content for fans and stadium visitors.In addition to the essential features of a top club app, like live scores, News, the standings and many more, the application includes Augmented Reality-Features as well as innovative functions, like Stadium Vision.All stadium visitors can enjoy LIVE-Features, which can only be used within the Red Bull Arena. Instant Replay of all important scenes and detailed player statistics make your stadium visit the perfect experience.https://www.redbullsalzburg.at/en/imprint","The FC Red Bull Salzburg app offers exclusive content for fans and stadium visitors. In addition to essential features like live scores, news, and standings, the app includes Augmented Reality features and innovative functions such as Stadium Vision. Stadium visitors can enjoy live features exclusive to the Red Bull Arena, including instant replay of important scenes and detailed player statistics, enhancing the overall stadium experience.","The official App of the Austrian Soccer club ""FC Red Bull Salzburg"".","FC Red Bull Salzburg App: Exclusive content and enhanced stadium experience with live scores, news, and Augmented Reality features.",0.3225806451612903,0.20689655172413793,0.2580645161290323
"Story Cutter for Instagram is an awesome tool that allows you to record or select videos of any length and convert them into 10 second segments that can then be uploaded to Instagram, Snapchat, WhatsApp, Twitter or Facebook stories.With this tool you will no longer have to worry about tediously recording and uploading over and over again to create the videos you want. Ideal for content creators and film enthusiasts who need to create longer videos for Stories on multiple platforms.","Story Cutter for Instagram is an awesome tool that allows you to record or select videos of any length and convert them into 10 second segments that can then be uploaded to Instagram, Snapchat, WhatsApp, Twitter, or Facebook stories. With this tool, you will no longer have to worry about tediously recording and uploading over and over again to create the videos you want. Ideal for content creators and film enthusiasts who need to create longer videos for Stories on multiple platforms.","Upload long videos to Instagram, Snapchat, WhatsApp, Twitter & Facebook stories",Story Cutter for Instagram: Effortlessly create 10-second video segments for social media stories.,0.25,0.0,0.16666666666666666
"XL Flor is a reliable partner for wholesale companies in flowers, plants and hardware. Get direct access to a wide and deep selection and order fast and fresh in large quantities. With the XL Flor app for phone as well as tablet, you always have direct access to a wide selection of daily fresh products. You can also view orders, top up or create new orders from any location: on the road, from your holiday destination, the shop, or from the comforts of your own home. The XL Flor app offers everything wholesale companies need for quick and easy stock management. Are you already a XL Flor customer and do you normally place orders through the webshop on your computer? Just simply log on using the same login detailsNot an online customer yet? When you have downloaded the app, you will immediately see the option to register as new customer on the login page. The explanation and tutorial will follow after you have logged in. • Easy navigation through the complete selection• Easy filtering to get straight to the desired product• View previous orders, repeat or create new orders• Fast ordering","XL Flor is a reliable partner for wholesale companies in flowers, plants, and hardware. Get direct access to a wide and deep selection and order fast and fresh in large quantities. With the XL Flor app for phone and tablet, you always have direct access to a wide selection of daily fresh products. You can view orders, top up, or create new orders from any location: on the road, from your holiday destination, the shop, or from the comforts of your own home. The XL Flor app offers everything wholesale companies need for quick and easy stock management. 

Key features include:
- Easy navigation through the complete selection
- Easy filtering to get straight to the desired product
- View previous orders, repeat or create new orders
- Fast ordering",The XL Flor App offers everything you need as a wholesaler.,"""XL Flor: Your reliable partner for wholesale flowers, plants, and hardware.""",0.2727272727272727,0.10000000000000002,0.2727272727272727
"Theme for Oppo A5 2020 is not just a regular mobile home screen decoration.   it contain many bautiFull theme and  HD wallpaper and launcher.This theme is specially design for oppo A5 2020 , Oppo A9 2020 , Infinix note 7 , Infinix hot 9 pro , etc.Theme for Oppo A5 2020 is new bautiful and eye catch theme for your mobile and totally free for users....                                                         FEATURES          *)                                         Amazing HD wallpaper for download.       *)                                         For using very easy.        *)                                         fast speed and small  size.                                                 & Available launcher &         1)                   *                    next launcher       2)                   *                    Go launcher.       3)                   *                    holo launcher.       4)                   *                    Apex Launcher       5)                   *                    Nona Launcher       6)                   *                    u Launcher 3D .                                                         how to use            *         For apply wallpaper go to wallpaper and select any wallpaper.       *         for apply luncher go to apply theme and select any luncher app then download.       *         for more apps go to more apps option and  download more free apps.....","Theme for Oppo A5 2020 is not just a regular mobile home screen decoration. It contains many beautiful themes, HD wallpapers, and launchers. This theme is specially designed for Oppo A5 2020, Oppo A9 2020, Infinix Note 7, Infinix Hot 9 Pro, etc. Theme for Oppo A5 2020 is a new, beautiful, and eye-catching theme for your mobile and is totally free for users. 

FEATURES:
- Amazing HD wallpapers for download.
- Very easy to use.
- Fast speed and small size.",Theme for Oppo A5 2020 is beautiful wallpaper app.,Theme for Oppo A5 2020: Beautiful HD Themes and Wallpapers,0.7368421052631577,0.47058823529411764,0.7368421052631577
"RV Parky is the easiest way to plan your RV Trip.  Built by a full timer to help RVers on the road.  The most complete collection of RV parks, camp grounds, rest areas, gas stations, and stores updated daily.  Get information, view pictures, get directions to where you are headed to next.- Includes RV Parks categorized by: Commercially Owned, Public Parks, Military Camp, 55+, KOA, Jellystone, Casino- RV friendly stores like Camping World, Cabela's, Cracker Barrel, and Walmart- Rest Areas and Welcome Centers- Fuel Stops including Flying J's, Pilot, and TA Travel Centers- Low bridge warningsFor North America (USA, Canada, Mexico)","RV Parky is the easiest way to plan your RV Trip. Built by a full-timer to help RVers on the road, it offers the most complete collection of RV parks, campgrounds, rest areas, gas stations, and stores updated daily. Get information, view pictures, and get directions to your next destination. 

Key features include:
- RV Parks categorized by Commercially Owned, Public Parks, Military Camp, 55+, KOA, Jellystone, and Casino
- RV-friendly stores like Camping World, Cabela's, Cracker Barrel, and Walmart
- Rest Areas and Welcome Centers
- Fuel Stops including Flying J's, Pilot, and TA Travel Centers
- Low bridge warnings

Available for North America (USA, Canada, Mexico).","Plan your RV Trip. RV Parks, Campgrounds, Rest Areas, Gas, Walmarts, and more","""RV Parky: The easiest way to plan your RV Trip.""",0.4347826086956522,0.28571428571428575,0.34782608695652173
"Basics of Sign Language from Paradox Inc is a pocket library equipped with all the pre-requisites of sign language. This app encloses ISL(Indian Sign Language), ASL(American SL) and BSL(British SL) in an user-friendly interface that engages you with every sign. Inclusion of all 3 languages makes it far-reaching on a global scale. The aim is to deliver top-grade teaching that is efficient and easy-to-learn. Coupled with quizzes and interactive links, you can pulp out the best of material and learn with just a tap. Play fun games like scratch to find out hidden signs. A new update with an eye-catching design and UI! Why wait? Get on board and start learning.","Basics of Sign Language from Paradox Inc is a pocket library equipped with all the pre-requisites of sign language. This app encloses ISL (Indian Sign Language), ASL (American SL), and BSL (British SL) in a user-friendly interface that engages you with every sign. The aim is to deliver top-grade teaching that is efficient and easy-to-learn. Coupled with quizzes and interactive links, you can pulp out the best of material and learn with just a tap. Play fun games like scratch to find out hidden signs. A new update with an eye-catching design and UI!",An app for learning the basics of sign language,"Basics of Sign Language: Your Pocket Library for ISL, ASL, and BSL",0.4761904761904762,0.3157894736842105,0.380952380952381
"Attention all Preschool educators, ever lost track of what time your students were dropped off by their parents? Well, LittleLives’ new Check-in app is here to help!LittleLives, ranked Number 1 by AECES (Association for Early Childhood Educators (Singapore)) and used by over 300 preschools has just added a cool new Check-in App.Students reporting for school can easily snap a photo with their parents, upload, and the time automatically recorded. It’s that easy!Keeping track of your students’ movements will now be a breeze.So hurry teachers, download this cool new app that makes coming to school fun for students!Key features for the check-in app:+ Photo-taking of the students with their parents.+ Automatically takes attendance.+ Automatically records the time the students arrives and leaves school with their caregiver.","Attention all Preschool educators, ever lost track of what time your students were dropped off by their parents? Well, LittleLives’ new Check-in app is here to help! LittleLives, ranked Number 1 by AECES (Association for Early Childhood Educators (Singapore)) and used by over 300 preschools, has just added a cool new Check-in App. Students reporting for school can easily snap a photo with their parents, upload it, and the time is automatically recorded. It’s that easy! Keeping track of your students’ movements will now be a breeze. 

Key features for the check-in app:
+ Photo-taking of the students with their parents.
+ Automatically takes attendance.
+ Automatically records the time the students arrive and leave school with their caregiver.",Download this cool new app that makes coming to school fun for students!,LittleLives Check-in App: Effortless Student Attendance Tracking for Preschool Educators,0.24999999999999994,0.0,0.16666666666666669
Value Added Tax (VAT) calculator This calculator is easy and comfortable. You to adjust the tax rate can be calculated.,"Value Added Tax (VAT) calculator. This calculator is easy and comfortable, allowing you to adjust the tax rate for calculations.",This app can conveniently calculate VAT.,VAT Calculator,0.5,0.0,0.25
